n,m,bf,fw,dp,df
10,9,0.344036,299.959,6.01798,0.371361
10,9,0.364746,287.169,6.09169,0.388427
10,9,0.34129,292.633,6.02645,0.390036
10,9,0.341589,314.637,6.9015,0.408096
10,9,0.343934,290.055,6.02856,0.422281
10,9,0.364537,287.338,6.12513,0.392707
10,9,0.341428,319.355,7.17078,0.399838
10,9,0.342766,308.602,6.10082,0.389984
10,9,0.34177,365.293,6.30195,0.401903
10,9,0.349444,389.493,6.88068,0.472362
10,9,0.803791,334.884,39.2303,0.683238
10,9,0.66814,341.59,39.5107,0.714167
10,9,0.6502,299.055,39.3668,0.711052
10,9,0.643598,309.419,39.6438,0.723207
10,9,0.665234,293.43,56.7456,1.05191
10,9,0.707909,320.958,39.8708,0.698177
10,9,0.668068,300.152,38.9688,0.732428
10,9,0.664139,329.329,40.2968,0.715002
10,9,0.640424,295.583,39.0776,0.699279
10,9,0.661163,301.767,39.3009,0.73554
10,9,1.28155,296.149,31.0453,1.06228
10,9,1.32185,293.705,30.7939,1.06905
10,9,1.31852,303.477,31.1867,1.05112
10,9,1.39335,294.887,31.2248,1.06361
10,9,1.33428,323.319,31.4248,1.11313
10,9,1.34009,306.547,32.4758,1.08754
10,9,1.32645,315.329,31.4658,1.10387
10,9,1.43523,302.179,31.9075,1.10793
10,9,1.30135,305.784,31.4657,1.10936
10,9,1.34023,317.926,31.5707,1.11182
10,9,0.949051,302.367,48.113,0.829808
10,9,0.952934,303.526,47.7255,0.823242
10,9,0.955525,354.543,47.9597,0.821064
10,9,0.949055,308.591,48.0166,0.832248
10,9,0.952651,372.363,47.5206,0.817682
10,9,0.953977,328.849,50.0231,0.847505
10,9,1.05185,395.144,48.5313,0.861381
10,9,0.942231,327.74,48.2779,0.888067
10,9,1.0144,344.648,48.0351,0.847453
10,9,0.961527,354.86,65.5402,0.829404
10,9,0.647913,379.048,30.7928,0.529858
10,9,0.601179,322.783,30.9528,0.530145
10,9,0.59927,310.063,30.7927,0.53229
10,9,0.598208,295.633,31.4007,0.544212
10,9,0.648274,295.567,31.4501,0.579701
10,9,0.592558,302.593,31.0888,0.527197
10,9,0.600904,320.092,31.5422,0.523937
10,9,0.633603,360.52,32.1499,0.529159
10,9,0.593053,304.236,31.0473,0.530707
10,9,0.600725,301.032,30.9153,0.530339
10,9,0.428186,326.325,7.59167,0.326053
10,9,0.54603,297.283,8.01907,0.323384
10,9,0.433965,297.393,7.92399,0.32039
10,9,0.429267,293.758,7.93715,0.323689
10,9,0.428933,300.837,7.57904,0.319567
10,9,0.431416,298.132,7.514,0.318865
10,9,0.477408,297.552,7.73228,0.318537
10,9,0.432797,307.794,7.54448,0.3223
10,9,0.446454,311.766,7.56998,0.322848
10,9,0.429612,301.1,7.51561,0.31978
10,9,0.837233,395.028,17.9031,0.813619
10,9,0.994146,596.05,19.0927,0.629884
10,9,0.826857,664.129,18.7749,0.621927
10,9,0.872257,697.265,23.7239,0.934835
10,9,1.31394,371.399,15.4005,0.630645
10,9,0.90139,426.224,18.0139,0.572086
10,9,0.821611,332.506,15.6488,0.579475
10,9,0.884706,331.325,17.2583,0.869507
10,9,0.837421,336.881,17.232,0.568261
10,9,0.830344,332.434,16.5822,0.628146
10,9,0.510647,334.875,14.47,0.38629
10,9,0.512489,329.706,14.6448,0.391199
10,9,0.541424,334.837,14.4556,0.382653
10,9,0.51015,351.547,16.9995,0.379865
10,9,0.517297,330.402,14.7265,0.386586
10,9,0.522197,335.334,16.6103,0.382002
10,9,0.510115,339.934,14.4902,0.386444
10,9,0.514982,338.73,15.3564,0.375655
10,9,0.509484,328.129,14.4302,0.38381
10,9,0.512422,336.561,16.145,0.455793
10,9,0.94919,342.246,26.1723,0.615228
10,9,0.910477,325.093,28.8955,0.647893
10,9,0.913264,332.007,25.6986,0.614462
10,9,0.918439,354.437,25.7218,0.61128
10,9,0.906296,356.007,25.9696,0.620418
10,9,0.921347,331.882,26.2807,0.645496
10,9,1.20194,330.462,25.8205,0.617594
10,9,0.917052,323.46,26.6214,0.612318
10,9,0.905748,397.499,27.2887,0.625892
10,9,0.933844,358.049,27.3742,0.61361
10,9,1.20513,333.758,46.8663,1.50044
10,9,1.48332,327.387,45.8465,1.24853
10,9,1.26865,338.231,45.4309,1.23243
10,9,1.25108,351.437,46.0406,1.21415
10,9,1.24612,332.051,47.2442,1.29051
10,9,1.2519,342.225,47.3787,1.25624
10,9,1.23605,332.703,47.2734,1.26445
10,9,1.28168,336.434,45.8387,1.24144
10,9,1.24145,340.23,45.7494,1.24131
10,9,1.21442,338.453,45.946,1.24356
12,11,1.47817,635.861,61.2938,1.2814
12,11,1.54689,607.271,61.9211,1.29465
12,11,1.55376,714.04,68.4962,1.33099
12,11,1.51589,682.131,66.1424,1.33313
