n,m,bf,fw,dp,df
10,9,0.822799,454.416,18.1375,0.870659
10,9,0.815576,1710.03,18.6733,0.944198
10,9,0.866938,453.639,18.6408,0.941339
10,9,0.883828,453.706,18.6523,0.934671
10,9,0.857738,453.601,18.6157,0.931969
10,9,0.865882,453.667,18.6638,0.93118
10,9,0.856217,453.562,18.6314,0.930939
10,9,0.864321,453.63,18.6368,0.934757
10,9,0.857385,453.574,18.6208,0.946785
10,9,0.890333,453.649,18.6598,0.936193
10,9,1.80973,467.183,94.5973,1.81229
10,9,1.84061,467.226,94.6554,1.84008
10,9,1.8303,467.172,94.7777,1.8394
10,9,1.83939,496.743,95.0861,1.84956
10,9,1.84509,496.485,95.1488,1.8325
10,9,1.80838,492.78,95.2864,1.85585
10,9,1.80543,494.993,94.8837,1.84196
10,9,1.81356,496.205,94.9133,1.83606
10,9,1.82582,484.805,94.7183,1.84107
10,9,1.83131,469.838,94.5863,1.83486
10,9,1.55254,453.918,53.6793,1.81001
10,9,1.56121,453.794,53.6404,1.81586
10,9,1.56218,453.931,53.6998,1.81424
10,9,1.56937,453.845,53.6484,1.8154
10,9,1.56363,482.275,53.927,1.83057
10,9,1.55639,483.049,53.9189,1.83337
10,9,1.55668,480.21,53.8986,1.82099
10,9,1.56351,482.396,53.936,1.82705
10,9,1.56557,482.04,53.9903,1.83322
10,9,1.56404,478.767,54.0093,1.82269
10,9,1.58502,482.485,40.8701,1.39758
10,9,1.56031,494.053,41.6397,1.43883
10,9,1.58874,536.384,41.2183,1.42994
10,9,1.56296,486.846,40.9158,1.39821
10,9,1.56968,486.211,41.1513,1.42532
10,9,1.57372,535.605,41.6375,1.42847
10,9,1.60333,531.851,41.6552,1.42827
10,9,1.59488,533.823,41.4074,1.4261
10,9,1.58645,527.824,41.7159,1.4321
10,9,1.59018,536.909,41.2345,1.41472
10,9,0.775811,538.764,13.0739,0.534675
10,9,0.759829,531.416,13.0688,0.538598
10,9,0.760679,520.958,13.0938,0.543812
10,9,0.760269,531.018,12.8891,0.53006
10,9,0.755721,537.137,13.0625,0.535597
10,9,0.759408,536.965,13.0574,0.536708
10,9,0.762526,529.042,13.087,0.542649
10,9,0.763425,534.026,12.9584,0.535355
10,9,0.759914,524.651,13.0765,0.539292
10,9,0.759576,527.218,13.0003,0.532737
10,9,1.9456,535.736,78.9914,1.62891
10,9,1.92519,535.624,78.3276,1.61502
10,9,1.90717,546.087,78.693,1.61099
10,9,1.92657,531.216,78.021,1.59681
10,9,1.92029,551.086,78.0569,1.61075
10,9,1.90656,531.219,78.778,1.61916
10,9,1.93588,545.429,78.396,1.62322
10,9,1.91759,546.193,78.662,1.61656
10,9,1.92792,538.03,77.9981,1.61433
10,9,1.90584,554.172,78.9296,1.62194
10,9,2.39564,535.211,65.7827,1.9997
10,9,2.32781,548.832,65.0198,1.96986
10,9,2.30288,545.031,65.7996,2.03279
10,9,2.36353,542.112,64.8996,2.0617
10,9,2.34396,552.008,65.3901,2.01853
10,9,2.36739,555.018,65.6429,2.00195
10,9,2.32905,553.757,65.6721,2.03992
10,9,2.34967,553.583,65.8111,2.02141
10,9,2.34823,553.695,65.905,2.02063
10,9,2.34532,557.119,64.9085,2.02535
10,9,1.05229,540.805,19.4051,0.673181
10,9,1.03625,541.673,19.3671,0.683679
10,9,1.05114,538.7,19.4242,0.683521
10,9,1.05553,529.023,19.451,0.67607
10,9,1.03692,532.628,19.1434,0.671735
10,9,1.04702,533.4,19.4462,0.669958
10,9,1.03559,541.662,19.2606,0.672782
10,9,1.0342,530.779,19.2303,0.668707
10,9,1.04377,539.576,19.1874,0.666872
10,9,1.02369,541.35,19.3567,0.671083
10,9,2.20453,543.101,90.1535,2.26886
10,9,2.18209,538.717,89.8264,2.25888
10,9,2.20011,548.101,89.1996,2.25662
10,9,2.15511,551.561,89.9227,2.25653
10,9,2.18277,547.908,89.9941,2.27702
10,9,2.173,543.601,90.1408,2.2634
10,9,2.17916,539.866,89.6527,2.27802
10,9,2.17949,549.865,89.3918,2.23833
10,9,2.1436,551.511,89.8284,2.24626
10,9,2.17574,548.126,90.024,2.24851
10,9,1.70779,524.695,72.4712,1.95737
10,9,1.72175,529.743,72.2111,1.9597
10,9,1.70185,542.02,71.7761,1.9366
