n,m,bf,fw,dp,df
10,45,4.71485,573.459,1172.23,4.34735
10,45,4.58188,563.712,148.184,4.32071
10,45,4.48498,564.451,147.817,4.29536
10,45,4.44869,570.623,147.793,4.32543
10,45,4.47987,582.691,147.005,4.34718
10,45,4.47546,577.898,147.733,4.34547
10,45,4.51531,572.295,147.057,4.18357
10,45,4.40017,575.566,146.759,4.3575
10,45,4.52587,564.007,148.008,4.33883
10,45,4.4908,564.479,147.668,4.33381
10,45,5.52657,563.17,490.228,5.04919
10,45,5.40867,565.765,491.059,5.03971
10,45,5.40547,571.056,488.501,5.05103
10,45,5.38058,563.143,488.8,5.07674
10,45,5.44052,557.279,490.393,4.89595
10,45,5.30882,567.193,489.839,5.04564
10,45,5.38996,556.581,489.62,5.11696
10,45,5.41706,550.715,490.871,4.97838
10,45,5.42784,569.917,489.82,4.96822
10,45,5.36642,569.959,490.068,5.05474
10,45,5.33618,563.537,129.708,5.00685
10,45,5.18651,573.643,129.501,4.85514
10,45,5.08659,572.347,129.165,4.88188
10,45,5.08713,572.77,129.376,4.89334
10,45,5.10478,573.477,128.944,5.08325
10,45,5.13702,575.588,129.474,4.81351
10,45,5.08429,582.681,129.947,5.01026
10,45,5.17707,571.167,129.827,4.96035
10,45,5.17076,570.988,129.792,5.03331
10,45,5.17251,569.696,129.888,4.97039
10,45,4.25333,558.627,235.255,5.49624
10,45,4.0802,563.163,234.315,5.5983
10,45,4.13648,557.14,234.83,5.49513
10,45,4.01777,564.803,233.891,5.28122
10,45,3.94216,566.044,232.513,5.51273
10,45,4.0978,556.259,234.541,5.52254
10,45,4.00916,549.322,234.661,5.46514
10,45,3.99937,559.324,233.926,5.33563
10,45,3.98215,566.147,232.173,5.58837
10,45,4.03092,556.627,234.584,5.48135
10,45,4.09553,570.713,183.671,4.91238
10,45,4.01295,581.303,183.163,4.87076
10,45,3.97338,587.749,182.377,4.96445
10,45,4.04757,582.222,183.782,5.04957
10,45,4.06516,580.651,183.566,5.00839
10,45,4.05135,579.649,182.452,4.79479
10,45,4.02989,582.649,183.155,5.02562
10,45,4.04439,578.457,183.006,5.00925
10,45,4.06319,591.045,183.859,5.04462
10,45,4.00855,581.881,185.532,5.10381
10,45,5.89004,568.41,131.203,5.57507
10,45,5.65755,572.199,130.699,5.52575
10,45,5.55442,551.828,131.692,5.51995
10,45,5.61002,576.359,131.01,5.53481
10,45,5.4629,568.585,130.646,5.51361
10,45,5.55681,553.406,131.181,5.56294
10,45,5.61115,568.083,130.855,5.64655
10,45,5.50412,583.107,130.574,5.53291
10,45,5.57651,559.634,131.093,5.59765
10,45,5.63047,574.105,130.729,5.29956
10,45,5.728,586.997,158.054,4.89355
10,45,5.62407,570.388,160.395,5.29916
10,45,5.81199,573.096,158.224,5.25939
10,45,5.91078,575.987,159.861,5.19983
10,45,5.7838,557.038,160.18,5.24315
10,45,5.84515,576.435,158.465,4.98556
10,45,5.71059,590.214,158.329,5.01365
10,45,5.64273,548.641,159.413,5.03536
10,45,5.64473,576.08,158.601,4.91536
10,45,5.63388,577.203,159.444,5.10158
10,45,7.69297,573.033,244.426,7.64322
10,45,7.77043,586.297,246.517,7.38263
10,45,7.80414,588.421,242.468,7.33278
10,45,7.57517,557.724,245.084,7.43326
10,45,7.67301,583.426,243.757,7.26942
10,45,7.68306,590.528,242.946,7.38172
10,45,7.59053,567.494,243.696,7.33326
10,45,7.62291,565.022,242.029,7.72516
10,45,7.90167,590.441,247.132,7.50688
10,45,8.47716,592.649,243.471,7.52359
10,45,7.43786,587.127,194.122,7.00319
10,45,7.16599,575.312,196.5,7.16912
10,45,7.33963,589.997,192.333,7.24435
10,45,7.36721,590.436,191.38,6.61834
10,45,6.80516,590.735,195.35,7.12765
10,45,7.65028,580.949,193.09,6.9584
10,45,7.14661,572.351,194.048,7.28292
10,45,7.28118,586.1,193.896,7.04401
10,45,7.2015,591.907,192.335,6.59415
10,45,6.83292,586.232,198.33,7.7585
10,45,5.14161,575.136,107.193,5.14563
10,45,5.12753,574.816,107.844,5.00917
10,45,5.02925,582.67,106.314,5.02174
10,45,5.05511,565.785,108.67,5.23451
10,45,5.20909,583.355,106.757,5.16766
10,45,5.11825,565.951,107.157,5.19506
10,45,5.10337,570.954,107.179,5.23635
10,45,5.14232,572.86,107.258,5.22175
10,45,5.11322,583.215,106.66,5.10522
10,45,5.07426,575.113,107.194,5.17464
12,66,17.7921,1041.27,499.952,15.1247
12,66,15.8854,1051.77,498.536,15.7553
12,66,17.4519,1062.92,506.915,15.6474
12,66,17.5899,1059.72,506.997,15.5724
12,66,17.3488,1060.17,499.322,13.909
12,66,16.2368,1055.89,508.575,15.322
12,66,17.6733,1075.14,508.436,16.2665
12,66,18.1139,1051.02,497.906,15.2001
12,66,16.7755,1054.59,499.144,14.7475
12,66,19.4373,1064.76,508.151,15.5099
12,66,11.9476,1059.64,384.77,9.73606
12,66,12.6112,1061.12,381.989,8.32759
12,66,11.0388,1056.78,384.952,9.49556
12,66,12.0483,1052.53,378.575,8.75327
12,66,11.0238,1055.92,375.967,9.55508
12,66,11.9936,1049.26,382.402,8.84088
12,66,10.898,1032.22,376.899,8.97284
12,66,11.3463,1042.41,375.166,9.18609
12,66,11.7249,1029.02,378.227,8.8834
12,66,11.3369,1044.87,370.52,8.63084
12,66,15.1743,1056.03,831.278,12.9871
12,66,14.9058,1047.03,831.288,11.5802
12,66,12.9683,1058.83,815.5,12.9402
12,66,12.9107,1052.45,827.387,13.4933
12,66,13.8811,1036.9,811.402,11.7407
12,66,12.7365,1053.2,811.861,12.0935
12,66,12.8112,1024.27,808.794,12.6681
12,66,12.2928,1064.08,816.971,12.6362
12,66,12.8624,1039.55,813.444,12.4209
12,66,14.3883,1033.67,823.032,13.1494
12,66,18.7589,1013.14,680.269,12.9829
12,66,15.2748,1059.83,676.343,13.0365
12,66,15.3117,1047.88,674.035,12.649
12,66,15.4848,1057.59,677.935,14.2611
12,66,16.827,1048.45,686.173,13.5458
12,66,15.4999,1061.24,688.032,15.2747
12,66,17.494,1062.73,684.237,12.4321
12,66,14.2981,1075.11,672.888,14.2926
12,66,16.4613,1062.25,670.084,14.6885
12,66,15.7414,1024.09,664.011,12.9774
12,66,9.7125,994.821,248.945,10.8543
12,66,9.69319,998.294,253.939,10.6718
12,66,10.9532,1003.91,257.944,10.9529
12,66,10.818,993.249,260.505,10.9954
12,66,10.8153,993.607,249.675,9.60973
12,66,9.92033,993.569,257.037,10.8122
12,66,9.75584,991.973,257.352,10.7812
12,66,10.655,983.054,258.834,10.771
12,66,11.7697,990.701,252.43,10.2171
12,66,10.484,991.828,259.026,10.0792
12,66,12.1047,1005.85,545.536,13.7293
12,66,12.9016,1000.22,552.662,13.6398
12,66,12.6761,1009.59,539.268,11.9572
12,66,11.6237,1018.6,542.271,12.315
12,66,11.4235,1014.96,532.617,12.2532
12,66,11.4332,1017.12,548.445,12.6043
12,66,11.5246,1013.23,544.463,12.8452
12,66,11.4218,1021.62,541.981,12.5351
12,66,11.5743,1011.75,533.397,12.1252
12,66,11.2686,1015.1,545.409,12.4188
12,66,6.74115,1069.9,312.065,8.83717
12,66,6.48934,1059.78,312.539,8.75278
12,66,6.33762,1067.29,328.874,10.5503
12,66,6.92069,954.29,319.762,9.96648
12,66,7.24362,1016.27,322.492,10.16
12,66,7.46894,1064.88,324.571,9.47881
12,66,8.08369,1066.54,319.794,10.0529
12,66,7.67892,1037.93,324.451,9.92894
12,66,7.20815,1057.02,327.06,10.7414
12,66,7.19506,1057.86,319.651,9.73275
12,66,10.2848,1019.14,267.778,10.7725
12,66,10.0875,1059.13,264.648,9.64617
12,66,10.3028,978.621,262.206,10.2976
12,66,10.2035,986.37,267.829,9.52053
12,66,9.20034,1020.1,255.732,9.5875
12,66,9.26691,1043.05,257.053,9.34222
12,66,9.12728,1061.54,271.02,11.1443
12,66,10.9236,1073.61,262.063,10.3758
12,66,9.9944,1036.5,265.861,10.797
12,66,10.1131,1044.66,267.968,9.98459
12,66,12.1428,1062.08,264.957,11.322
12,66,11.2355,1068.77,301.657,14.8642
12,66,13.7053,1073.28,276.219,12.5003
12,66,12.2448,1039.14,267.333,10.9919
12,66,10.6971,963.296,282.859,13.1728
12,66,13.4755,994.176,266.474,10.8191
12,66,10.2276,998.04,286.9,11.6681
12,66,12.1589,987.098,275.034,12.459
12,66,12.1935,1023.8,285.467,12.988
12,66,12.2575,968.348,272.69,11.3405
12,66,9.16354,986.891,202.444,7.7708
12,66,8.37304,974.714,221.613,8.52779
12,66,10.1332,997.767,206.641,9.10836
12,66,9.78197,1036.27,212.15,9.12462
12,66,9.85542,971.533,208.051,8.94793
12,66,9.51497,974.829,203.618,7.85076
12,66,8.50085,974.877,217.786,8.35286
12,66,8.54192,1045.98,206.296,8.22065
12,66,8.84952,1024.2,205.559,8.32574
12,66,9.12952,1036.77,210.527,7.90425
14,91,26.7812,1607.01,1230.41,19.8816
14,91,24.137,1651.96,1224.4,20.3769
14,91,25.0438,1656.13,1192.32,21.4436
14,91,25.1174,1651.97,1199.58,20.4506
14,91,23.746,1653.34,1175.41,20.2113
14,91,24.9209,1663.34,1201.95,23.3886
14,91,25.3375,1648.64,1199.31,25.1498
14,91,30.2928,1664.84,1211.16,23.8295
14,91,29.1559,1657.41,1183,22.2772
14,91,26.9849,1669.39,1195.54,19.6335
14,91,21.0112,1629.03,933.126,21.4355
14,91,26.636,1628.77,952.246,20.4699
14,91,25.0215,1611.5,924.998,21.3421
14,91,26.5386,1610.5,932.041,20.8424
14,91,24.8913,1606.09,906.91,22.02
14,91,27.704,1613.39,920.493,20.7525
14,91,24.929,1612.69,930.703,16.7253
14,91,19.7431,1617.92,900.243,21.6267
14,91,25.4573,1614.03,920.957,21.383
14,91,25.6642,1629.79,896.359,19.2625
14,91,23.8825,1671.98,746.322,21.0257
14,91,23.8637,1668.83,727.651,19.1809
14,91,22.4942,1656.97,719.022,20.0852
