n,m,bf,fw,dp,df
10,9,1.73906,299.015,119.132,2.17916
10,9,1.51166,283.841,119.34,2.18174
10,9,1.53766,282.24,119.662,2.17409
10,9,1.51582,283.074,118.342,2.17655
10,9,1.53794,285.376,118.686,2.18877
10,9,1.50979,301.061,126.383,2.33576
10,9,1.59657,282.715,130.932,2.41079
10,9,1.58183,306.445,126.858,2.33474
10,9,1.58743,355.287,133.524,2.37044
10,9,1.59756,295.231,127.164,2.28818
10,9,1.59969,301.44,35.7526,1.48388
10,9,1.60575,281.646,33.7945,1.41745
10,9,1.58613,279.148,44.4942,1.84239
10,9,1.7208,313.966,36.1513,1.52433
10,9,1.7872,314.715,35.1174,1.48457
10,9,1.59928,283.095,36.4239,1.45251
10,9,1.65128,289.743,33.7149,1.42375
10,9,1.59271,287.284,33.806,1.42407
10,9,1.55992,312.416,38.1211,1.52292
10,9,1.63697,300.053,35.7186,1.46469
10,9,1.99925,309.003,104.352,2.21162
10,9,2.03557,316.897,102.663,2.18167
10,9,2.03204,306.525,100.767,2.08043
10,9,1.98276,318.466,109.654,2.20383
10,9,2.04486,310.448,103.429,2.21684
10,9,2.09474,302.829,98.4097,2.26246
10,9,2.0742,314.299,101.564,2.13313
10,9,1.99127,292.986,105.155,2.14632
10,9,1.98282,297.066,98.6069,2.60453
10,9,2.13045,301.827,102.044,2.12511
10,9,1.75409,308.453,40.6485,1.92068
10,9,1.77745,293.676,40.7008,1.912
10,9,1.75761,303.322,40.7263,1.9444
10,9,1.75868,293.221,42.0668,1.91409
10,9,1.75085,295.313,40.7294,1.91158
10,9,1.75311,295.087,40.6409,1.9192
10,9,1.74846,303.613,43.9904,2.02752
10,9,1.78567,298.005,40.8236,1.91248
10,9,1.77605,339.771,43.6053,1.99759
10,9,1.93709,365.655,44.7714,2.06832
10,9,2.01985,318.535,68.8623,1.94991
10,9,1.86224,295.674,69.7557,1.99664
10,9,1.90824,298.752,69.1109,2.068
10,9,1.98855,298.673,67.7194,1.95928
10,9,1.88817,380.218,72.4131,2.26573
10,9,2.01166,340.562,70.174,2.01968
10,9,1.8529,304.195,69.9528,1.95868
10,9,2.03515,300.394,70.1957,2.04464
10,9,1.89481,298.196,68.1776,2.93784
10,9,1.85891,306.009,68.976,1.95799
10,9,1.9359,292.843,57.3181,1.56938
10,9,1.96653,291.486,56.3915,1.56476
10,9,2.00257,294.055,57.2087,1.56782
10,9,1.96759,301.116,57.694,1.69483
10,9,2.02676,291.756,57.2005,1.60287
10,9,2.10419,291.503,56.8783,1.75397
10,9,2.83472,293.518,57.2611,1.57256
10,9,2.00566,290.998,57.3688,1.61263
10,9,1.96888,290.166,58.1195,1.57388
10,9,1.99824,293.554,57.4581,1.57303
10,9,1.83825,287.275,90.8973,1.48327
10,9,1.82943,294.385,92.6146,1.48099
10,9,1.86004,288.986,91.3073,1.48343
10,9,1.83154,292.251,91.0711,1.48213
10,9,1.83334,289.999,91.0501,1.48668
