n,m,bf,fw,dp,df
10,9,7.96351,473.799,157.922,4.46615
10,9,4.74853,473.854,157.859,4.46095
10,9,4.77448,473.852,157.927,4.47085
10,9,4.76937,473.7,157.827,4.47116
10,9,4.77357,473.879,157.881,4.46537
10,9,4.74813,473.91,157.927,4.4644
10,9,4.77673,473.7,157.905,4.46966
10,9,4.75386,473.792,157.942,4.46416
10,9,4.76824,473.923,157.96,4.46171
10,9,4.77404,473.869,157.88,4.46181
10,9,3.62824,474.842,157.658,4.3574
10,9,3.62341,474.777,157.456,4.36676
10,9,3.65013,474.696,157.523,4.36335
10,9,3.65153,474.953,157.829,4.36552
10,9,3.64431,474.951,157.222,4.36854
10,9,3.65268,474.716,157.064,4.3639
10,9,3.6328,474.285,157.755,4.36328
10,9,3.64425,3266.92,157.687,4.3633
10,9,3.65042,475.105,157.807,4.36099
10,9,3.64675,474.698,157.158,4.36209
10,9,3.68839,468.575,118.019,4.43802
10,9,3.6993,469.578,118.074,4.43499
10,9,3.71225,469.3,117.836,4.43466
10,9,3.70234,468.429,118.457,4.43264
10,9,3.69718,469.452,117.577,4.43678
10,9,3.7016,469.394,118.272,4.4339
10,9,3.70396,469.366,118.226,4.43575
10,9,3.71205,469.402,118.102,4.43281
10,9,3.68851,469.545,118.349,4.43679
10,9,3.68887,468.545,117.878,4.4316
10,9,2.69267,476.573,139.938,3.35328
10,9,2.71753,476.469,139.873,3.36482
10,9,2.69474,476.535,139.684,3.35936
10,9,2.70304,476.63,140.062,3.36355
10,9,2.71058,476.196,139.778,3.36323
10,9,2.70568,476.258,140.004,3.35586
10,9,2.71231,476.705,139.997,3.36332
10,9,2.6974,476.609,139.498,3.3663
10,9,2.71794,476.336,140.003,3.36028
10,9,2.71004,476.373,139.996,3.36425
10,9,4.16648,470.877,87.0462,3.99118
10,9,4.1578,470.843,86.9697,3.98689
10,9,4.15913,470.84,87.0514,3.97621
10,9,4.16228,471.052,86.9096,3.99246
10,9,4.15852,470.91,87.102,3.98712
10,9,4.16152,470.893,86.8208,3.99062
10,9,4.15624,470.859,87.0486,3.98657
10,9,4.165,470.783,86.874,3.98613
10,9,4.15614,470.83,87.0062,3.98984
10,9,4.17168,470.76,87.0216,3.98732
10,9,4.08688,475.175,115.855,4.22206
10,9,4.07863,475.125,115.437,4.22903
10,9,4.07666,475.122,115.825,4.22188
10,9,4.0796,475.093,115.75,4.23132
10,9,4.07768,474.891,115.903,4.22684
10,9,4.08069,475.012,115.709,4.22545
10,9,4.08038,481.801,118.198,4.48081
10,9,4.28699,501.013,118.149,4.47643
10,9,4.27836,494.167,115.933,4.22625
10,9,4.07234,473.489,115.758,4.24826
10,9,2.8293,486.285,112.5,3.71502
10,9,2.81656,486.25,112.381,3.72612
10,9,2.81,486.113,112.302,3.71793
10,9,2.81596,486.107,112.314,3.71861
10,9,2.81924,486.187,112.522,3.71841
10,9,2.80663,486.21,112.299,3.719
10,9,2.81584,486.278,112.38,3.72196
