n,m,bf,fw,dp,df
10,9,0.445443,327.244,2.17848,0.342546
10,9,0.47842,311.485,2.16461,0.345128
10,9,0.480925,304.838,2.1689,0.343781
10,9,0.48109,311.373,2.18483,0.346334
10,9,0.482173,307.131,2.15826,0.353137
10,9,0.491433,312.343,2.1846,0.343615
10,9,0.472978,314.175,2.17077,0.345087
10,9,0.480329,311.271,2.14369,0.349207
10,9,0.481994,311.678,2.16702,0.352792
10,9,0.481814,308.732,2.15726,0.352268
10,9,0.455118,304.08,2.67112,0.33876
10,9,0.499611,304.39,2.61543,0.374961
10,9,0.489586,304.464,2.69321,0.339615
10,9,0.495172,307.229,2.60716,0.339646
10,9,0.50728,304.125,2.66439,0.338864
10,9,0.496217,303.569,2.62284,0.339937
10,9,0.489149,311.874,2.62391,0.338758
10,9,0.500961,307.811,2.6294,0.337173
10,9,0.502456,304.992,2.61749,0.340754
10,9,0.493227,304.852,2.6644,0.341898
10,9,0.290604,307.905,1.89274,0.237089
10,9,0.353038,304.727,1.87971,0.245841
10,9,0.341438,306.377,1.98305,0.251349
10,9,0.335061,305.181,1.88936,0.239323
10,9,0.330928,303.763,1.86517,0.245514
10,9,0.345136,300.682,1.89051,0.242587
10,9,0.31128,305.981,1.88069,0.249171
10,9,0.311314,300.094,1.84736,0.239125
10,9,0.311697,305.513,1.95873,0.245622
10,9,0.311607,303.23,1.87915,0.246297
10,9,0.508977,307.58,3.08627,0.47293
10,9,0.516493,301.253,3.01357,0.52081
10,9,0.522822,305.033,3.02311,0.470197
10,9,0.525254,300.168,3.04329,0.469803
10,9,0.513918,306.31,3.04797,0.469913
10,9,0.536425,299.249,3.09166,0.486902
10,9,0.545368,336.502,3.02272,0.500561
10,9,0.524564,301.26,3.01453,0.468929
10,9,0.518083,300.965,3.03478,0.472986
10,9,0.523813,303.575,3.03799,0.470528
10,9,0.464992,307.152,1.72528,0.390444
10,9,0.480704,307.04,1.74293,0.348603
10,9,0.479753,309.532,1.73838,0.339603
10,9,0.546121,307.602,1.73226,0.393622
10,9,0.47273,308.024,1.7596,0.345501
10,9,0.482361,309.389,1.72148,0.340956
10,9,0.474533,308.311,1.75764,0.366939
10,9,0.486978,313.979,1.71716,0.342249
10,9,0.482657,304.827,1.76829,0.340637
10,9,0.484317,310.325,1.71581,0.347128
10,9,0.283902,302.979,1.75721,0.264276
10,9,0.303358,306.489,1.73004,0.271675
10,9,0.302322,301.199,1.75589,0.274742
10,9,0.311941,300.483,1.69466,0.265668
10,9,0.305956,296.035,1.70097,0.26717
10,9,0.313406,305.413,1.74442,0.267055
10,9,0.31145,310.508,1.74644,0.271246
10,9,0.310243,305.733,1.69113,0.266532
10,9,0.31231,303.67,1.76486,0.262173
10,9,0.307783,304.106,1.7044,0.30655
10,9,0.55551,311.443,2.77374,0.462265
10,9,0.577249,314.117,2.74513,0.455619
10,9,0.549304,401.711,2.86266,0.452362
10,9,0.534027,305.219,2.73949,0.452227
10,9,0.550052,311.442,2.77951,0.46329
10,9,0.529041,308.712,2.75936,0.453626
10,9,0.5344,364.894,2.96324,0.513622
